# {"t_start": 1551811845.827794, "env_id": "Reacher-v2"} 
r,l,t
-30.580286,50,68.263266
-37.127797,50,68.319472
-46.692524,50,68.371741
-35.663813,50,68.424608
-47.153674,50,68.484984
-33.302932,50,68.534773
-33.830096,50,68.580587
-40.845697,50,68.637678
-37.443714,50,68.689521
-33.956984,50,68.741576
-42.468193,50,68.789849
-34.415501,50,68.841282
-43.318144,50,68.891147
-34.260369,50,68.945188
-32.537349,50,68.995142
-39.014025,50,69.044566
-44.658078,50,69.098397
-34.865113,50,69.154331
-43.578185,50,69.21007
-34.114431,50,69.26568
-36.510817,50,69.321459
-42.112853,50,69.377035
-35.536253,50,69.428506
-35.934258,50,69.473691
-39.308497,50,71.001461
-41.177788,50,71.056453
-39.197363,50,71.108569
-37.466317,50,71.163395
-44.863508,50,71.218049
-33.929237,50,71.272421
-33.347835,50,71.32687
-35.531881,50,71.381531
-26.417791,50,71.435732
-29.627844,50,71.48451
-36.072196,50,71.539305
-26.856275,50,71.590075
-30.561823,50,71.64438
-27.969803,50,71.699846
-35.875505,50,71.756523
-31.929069,50,71.808842
-40.229549,50,71.862108
-27.825391,50,71.918755
-29.446043,50,71.970522
-33.489809,50,72.014138
-33.179463,50,72.063406
-41.638575,50,72.110155
-31.424476,50,72.15625
-35.602776,50,72.221432
-30.946996,50,72.287701
-28.537494,50,72.354925
-30.651464,50,72.421935
-32.306747,50,72.488793
-34.316153,50,72.555472
-36.555057,50,72.621956
-30.952257,50,72.688582
-42.301244,50,72.755368
-30.087743,50,72.821522
-31.407542,50,72.888645
-38.884299,50,72.955979
-31.761641,50,73.023184
-36.135047,50,73.078612
-40.811897,50,73.132157
-35.186944,50,73.182171
-29.545897,50,73.234594
-31.766773,50,73.285071
-34.721953,50,74.78533
-28.404788,50,74.83895
-34.84166,50,74.894398
-38.643231,50,74.948262
-30.346373,50,75.003364
-30.245838,50,75.061118
-35.723169,50,75.105049
-34.524084,50,75.158226
-35.032042,50,75.210951
-31.438661,50,75.265435
-37.963329,50,75.316014
-30.660013,50,75.36943
-38.136294,50,75.42859
-23.348022,50,75.487141
-28.069843,50,75.545976
-37.285882,50,75.596355
-27.983517,50,75.648642
-26.172068,50,75.702299
-33.528446,50,75.759196
-34.744229,50,75.810697
-32.744589,50,75.858397
-31.845287,50,75.914135
-31.41221,50,75.971689
-33.855627,50,76.028649
-28.278248,50,76.085532
-31.36027,50,76.139763
-39.536245,50,76.193196
-35.831212,50,76.246968
-32.037218,50,76.299605
-37.883159,50,76.355601
-27.003161,50,76.412643
-29.065031,50,76.46134
-34.822431,50,76.506883
-47.961522,50,76.550956
-24.830559,50,76.594471
-36.626935,50,76.638383
-25.727218,50,76.687086
-39.172134,50,76.730473
-39.489657,50,76.774137
-28.7699,50,76.817442
-44.856956,50,76.862782
-34.263107,50,78.371605
-37.485745,50,78.436836
-34.923301,50,78.50302
-32.566105,50,78.56907
-32.97128,50,78.635313
-28.997723,50,78.701031
-25.479219,50,78.767111
-29.906704,50,78.83335
-32.056408,50,78.899081
-29.743635,50,78.964714
-35.126678,50,79.031099
-31.271985,50,79.096289
-32.791567,50,79.16159
-36.590509,50,79.227856
-29.53781,50,79.292813
-40.702277,50,79.358028
-25.72977,50,79.424658
-41.721988,50,79.489478
-27.666016,50,79.554528
-39.699437,50,79.619408
-27.788775,50,79.684414
-29.980732,50,79.75015
-29.628756,50,79.816123
-36.48058,50,79.881807
-36.501863,50,79.947614
-32.855155,50,80.01245
-30.715769,50,80.07752
-31.008136,50,80.142226
-37.024212,50,80.206942
-35.241885,50,80.271843
-31.849512,50,80.33669
-33.431127,50,80.401591
-34.420198,50,80.46646
-37.811173,50,80.531903
-28.028619,50,80.597301
-32.431149,50,80.663367
-21.988682,50,80.728271
-36.123466,50,80.79298
-29.207587,50,80.857881
-39.162993,50,80.922791
-32.038481,50,80.988627
-30.156758,50,82.548014
-27.779944,50,82.613164
-34.019719,50,82.67844
-30.753833,50,82.743981
-31.176039,50,82.809357
-36.392524,50,82.874724
-28.34478,50,82.93986
-31.573932,50,83.005109
-25.99494,50,83.070462
-27.120991,50,83.135977
-26.478588,50,83.201305
-31.110156,50,83.266482
-17.7669,50,83.331962
-40.708857,50,83.397307
-32.255108,50,83.46259
-31.108035,50,83.527689
-21.649786,50,83.570623
-20.627001,50,83.613009
-31.536331,50,83.658744
-36.156501,50,83.710594
-26.896648,50,83.760043
-29.569242,50,83.812096
-36.93297,50,83.868328
-30.548384,50,83.919426
-39.36303,50,83.967791
-30.688161,50,84.014883
-24.484834,50,84.0578
-23.509426,50,84.100245
-31.145801,50,84.142823
-24.386151,50,84.185942
-25.244462,50,84.228602
-23.747782,50,84.271085
-31.75207,50,84.320343
-25.952663,50,84.369436
-21.557383,50,84.418449
-29.682823,50,84.46113
-40.571337,50,84.504228
-27.691144,50,84.547055
-30.485331,50,84.589591
-34.327804,50,84.632592
-40.202774,50,84.675083
-26.150774,50,86.151113
-26.546822,50,86.200311
-22.787711,50,86.250165
-25.673917,50,86.301218
-25.416332,50,86.354654
-25.428544,50,86.399985
-20.763552,50,86.452521
-25.399378,50,86.508758
-23.983102,50,86.566786
-27.365121,50,86.616292
-30.740025,50,86.668907
-25.334271,50,86.725059
-25.133712,50,86.782701
-27.919079,50,86.839728
-36.265433,50,86.896864
-33.837582,50,86.945526
-31.223805,50,87.00187
-22.398015,50,87.058674
-24.457593,50,87.114127
-22.633703,50,87.163309
-23.395478,50,87.215182
-29.989993,50,87.268203
-22.072565,50,87.324605
-26.711203,50,87.382391
-32.450199,50,87.435426
-21.555025,50,87.488705
-23.683163,50,87.53881
-24.324621,50,87.592432
-30.701969,50,87.643122
-26.144012,50,87.695408
-30.018245,50,87.749912
-38.185979,50,87.806446
-23.53511,50,87.863848
-38.211715,50,87.920234
-27.231079,50,87.977338
